,ts,master_metadata_album_artist_name
0,2018-03-07,Marshmello
1,2018-03-07,Lupe Fiasco
2,2018-03-07,Gryffin
3,2018-03-07,American Authors
4,2018-03-07,Zedd
5,2018-03-07,Logic
6,2018-03-07,Lil Uzi Vert
7,2018-03-07,Drake
8,2018-03-07,Zedd
9,2018-03-07,The Weeknd
10,2018-03-07,The Weeknd
11,2018-03-07,Jay Rock
12,2018-03-07,Khalid
13,2018-03-07,Logic
14,2018-03-07,Migos
15,2018-03-08,Elevation Worship
16,2018-03-08,Starfield
17,2018-03-08,Hillsong Worship
18,2018-03-08,Ed Sheeran
19,2018-03-08,Hailee Steinfeld
20,2018-03-08,Ed Sheeran
21,2018-03-08,Ed Sheeran
22,2018-03-08,Ed Sheeran
23,2018-03-08,Ed Sheeran
24,2018-03-08,The Weeknd
25,2018-03-08,Khalid
26,2018-03-08,Lil Uzi Vert
27,2018-03-08,Lil Skies
28,2018-03-08,Marshmello
29,2018-03-08,Migos
30,2018-03-08,Zedd
31,2018-03-08,Jay Rock
32,2018-03-08,Hailee Steinfeld
33,2018-03-09,Hailee Steinfeld
34,2018-03-09,Rudimental
35,2018-03-09,Ed Sheeran
36,2018-03-09,Starfield
37,2018-03-09,Gryffin
38,2018-03-09,Ed Sheeran
39,2018-03-09,Ed Sheeran
40,2018-03-09,Lecrae
41,2018-03-09,Hailee Steinfeld
42,2018-03-09,Ed Sheeran
43,2018-03-09,Portugal. The Man
44,2018-03-09,Niall Horan
45,2018-03-09,Jon Bellion
46,2018-03-09,WALK THE MOON
47,2018-03-10,Jason Mraz
48,2018-03-10,Ed Sheeran
49,2018-03-10,Jason Mraz
50,2018-03-10,Ed Sheeran
51,2018-03-10,Hailee Steinfeld
52,2018-03-10,Taylor Swift
53,2018-03-10,Halsey
54,2018-03-10,DNCE
55,2018-03-10,Travie McCoy
56,2018-03-10,Jason Mraz
57,2018-03-10,Jason Mraz
58,2018-03-10,Ed Sheeran
59,2018-03-10,Gryffin
60,2018-03-10,Hailee Steinfeld
61,2018-03-10,Gryffin
62,2018-03-10,Maroon 5
63,2018-03-10,Maroon 5
64,2018-03-10,Maroon 5
65,2018-03-10,Maroon 5
66,2018-03-10,Zedd
67,2018-03-10,Kendrick Lamar
68,2018-03-10,The Weeknd
69,2018-03-10,Kesha
70,2018-03-10,Sam Smith
71,2018-03-10,Logic
72,2018-03-11,Maroon 5
73,2018-03-11,Maroon 5
74,2018-03-11,Maroon 5
75,2018-03-11,Maroon 5
76,2018-03-11,Lecrae
77,2018-03-11,Marc E. Bassy
78,2018-03-11,Gryffin
79,2018-03-11,Hailee Steinfeld
80,2018-03-11,Lauv
81,2018-03-11,Ed Sheeran
82,2018-03-11,Ed Sheeran
83,2018-03-11,Ed Sheeran
84,2018-03-11,Maroon 5
85,2018-03-11,Maroon 5
86,2018-03-11,Maroon 5
87,2018-03-11,Lecrae
88,2018-03-11,Hailee Steinfeld
89,2018-03-11,Lauv
90,2018-03-11,Ed Sheeran
91,2018-03-11,Ed Sheeran
92,2018-03-11,Maroon 5
93,2018-03-11,Lecrae
94,2018-03-11,Marc E. Bassy
95,2018-03-11,Donnie Trumpet & The Social Experiment
96,2018-03-11,Taylor Swift
97,2018-03-11,Ed Sheeran
98,2018-03-11,Ed Sheeran
99,2018-03-11,Jason Mraz
100,2018-03-11,Jason Mraz
101,2018-03-11,Gryffin
102,2018-03-11,Hailee Steinfeld
103,2018-03-11,Lauv
104,2018-03-11,Ed Sheeran
105,2018-03-11,Ed Sheeran
106,2018-03-11,Ed Sheeran
107,2018-03-11,Zedd
108,2018-03-11,Maroon 5
109,2018-03-11,Lecrae
110,2018-03-11,Marc E. Bassy
111,2018-03-11,Donnie Trumpet & The Social Experiment
112,2018-03-11,Taylor Swift
113,2018-03-12,Maroon 5
114,2018-03-12,Lecrae
115,2018-03-12,Gryffin
116,2018-03-12,The Weeknd
117,2018-03-12,Marc E. Bassy
118,2018-03-12,Drake
119,2018-03-12,Zedd
120,2018-03-12,Khalid
121,2018-03-12,Hailee Steinfeld
122,2018-03-12,Maroon 5
123,2018-03-12,Ed Sheeran
